"date","communication","utilities","development","entertainment","uncategorized","learning","design","news","undefined","business","shopping","social"
"2021-09-25T14:00:00",9,102,8,,138,,236,31,,1079,,242
"2021-09-25T15:00:00",207,636,2069,,37,405,100,,,11,,
"2021-09-25T16:00:00",,15,269,,,,,,,,,
"2021-09-25T17:00:00",,132,521,,,,,,,6,,
"2021-09-25T18:00:00",,120,649,,55,,2,,,724,,
"2021-09-25T19:00:00",475,505,2,68,90,382,65,,,663,291,
"2021-09-25T20:00:00",1049,210,,15,753,9,17,,,1216,,114
"2021-09-25T21:00:00",2698,205,,,146,20,,,,507,,
"2021-09-25T22:00:00",1034,785,,,202,7,,62,,1497,,
"2021-09-25T23:00:00",19,1259,,,483,359,209,336,,,,
"2021-09-26T00:00:00",20,378,,,128,15,954,1283,,,,
"2021-09-26T07:00:00",114,158,,81,600,192,781,1336,,11,2,
"2021-09-26T08:00:00",15,51,,1731,1155,146,181,298,,10,,
"2021-09-26T09:00:00",189,160,8,,1085,188,23,1750,,154,,
"2021-09-26T10:00:00",674,166,161,69,95,724,,1280,,1104,73,
